id,latitude,longitude,"quadKey","name"
2,58.307685,0.22338825,"","Turtle's Records & Tapes"
3,58.307685,-4.13608763,"","Integra Investment Service"
4,58.307685,-2.50814924,"","System Star"
5,58.307685,-4.044797,"","Grey Fade"
6,58.307685,-0.28519531,"","Harmony House"
7,58.307685,-1.57494674,"","Hechinger"
8,58.307685,-0.90639108,"","Ellman's Catalog Showrooms"
9,58.307685,1.36460419,"","Landskip Yard Service"
10,58.307685,1.07509048,"","Copeland Sports"
11,58.307685,-3.24089891,"","Ideal Garden Maintenance"
12,58.307685,0.97551534,"","Pro Property Maintenance"
13,58.307685,0.52439832,"","Wealth Zone Group"
14,58.307685,-2.97438257,"","Infinite Wealth Planners"
15,58.307685,0.2789295,"","Netcore"
16,58.307685,-3.28842637,"","Tech Hifi"
17,58.307685,-1.7174439,"","E-zhe Source"
18,58.307685,-2.15687232,"","Access Asia"
19,58.307685,0.76178912,"","Purity Supreme"
20,58.307685,1.30176035,"","Formula Grey"
21,58.307685,-3.14506427,"","MegaSolutions"
22,58.307685,-2.47565906,"","Noodle Kidoodle"
23,58.307685,-0.61564327,"","Star Merchant Services"
24,58.307685,-3.50545856,"","Buckeye Furniture"
25,58.307685,-3.29524875,"","Weatherill's"
26,58.307685,0.19630489,"","Silverwoods"
27,58.307685,-0.02077734,"","Gamma Realty"
28,58.307685,0.16422654,"","Champion Auto"
29,58.307685,-0.15994595,"","Handy Dan"
30,58.307685,1.48073591,"","Future Bright"
31,58.307685,-0.71087204,"","The High Heelers"
32,58.307685,0.94744861,"","Jitney Jungle"
33,58.307685,-3.37911489,"","York Steak House"
34,58.307685,1.28610483,"","Flipside Records"
35,58.307685,-2.88952549,"","Gold Leaf Garden Management"
36,58.307685,0.3123805,"","Childs Restaurants"
37,58.307685,0.64790135,"","Littler's"
38,58.307685,1.06154216,"","Practi-Plan"
39,58.307685,0.48296333,"","Zany Brainy"
40,58.307685,0.35383751,"","Endicott Johnson"
41,58.307685,-4.05195696,"","Consumers Food and Drug"
42,58.307685,-3.48125588,"","Adray"
43,58.307685,-4.0725986,"","Liberal"
44,58.307685,-2.83938713,"","Handy Andy"
45,58.307685,-2.29446762,"","Hollywood Video"
46,58.307685,-3.69791808,"","Auto Palace"
47,58.307685,-2.47326992,"","Rivera Property Maintenance"
48,58.307685,-1.51920461,"","Four Leaf Clover"
49,58.307685,0.78889587,"","Pup 'N' Taco"
