latitude_degrees,latitude,longitude_degrees,longitude
58°18′28″N,58.307685,0°13′24″E,0.22338825
58°18′28″N,58.307685,4°08′10″W,-4.13608763
58°18′28″N,58.307685,2°30′29″W,-2.50814924
58°18′28″N,58.307685,4°02′41″W,-4.044797
58°18′28″N,58.307685,0°17′07″W,-0.28519531
58°18′28″N,58.307685,1°34′30″W,-1.57494674
58°18′28″N,58.307685,0°54′23″W,-0.90639108
58°18′28″N,58.307685,1°21′53″E,1.36460419
58°18′28″N,58.307685,1°04′30″E,1.07509048
58°18′28″N,58.307685,3°14′27″W,-3.24089891
58°18′28″N,58.307685,0°58′32″E,0.97551534
58°18′28″N,58.307685,0°31′28″E,0.52439832
58°18′28″N,58.307685,2°58′28″W,-2.97438257
58°18′28″N,58.307685,0°16′44″E,0.2789295
58°18′28″N,58.307685,3°17′18″W,-3.28842637
58°18′28″N,58.307685,1°43′03″W,-1.7174439
58°18′28″N,58.307685,2°09′25″W,-2.15687232
58°18′28″N,58.307685,0°45′42″E,0.76178912
58°18′28″N,58.307685,1°18′06″E,1.30176035
58°18′28″N,58.307685,3°08′42″W,-3.14506427
58°18′28″N,58.307685,2°28′32″W,-2.47565906
58°18′28″N,58.307685,0°36′56″W,-0.61564327
58°18′28″N,58.307685,3°30′20″W,-3.50545856
58°18′28″N,58.307685,3°17′43″W,-3.29524875
58°18′28″N,58.307685,0°11′47″E,0.19630489
58°18′28″N,58.307685,0°01′15″W,-0.02077734
58°18′28″N,58.307685,0°09′51″E,0.16422654
58°18′28″N,58.307685,0°09′36″W,-0.15994595
58°18′28″N,58.307685,1°28′51″E,1.48073591
58°18′28″N,58.307685,0°42′39″W,-0.71087204
58°18′28″N,58.307685,0°56′51″E,0.94744861
58°18′28″N,58.307685,3°22′45″W,-3.37911489
58°18′28″N,58.307685,1°17′10″E,1.28610483
58°18′28″N,58.307685,2°53′22″W,-2.88952549
58°18′28″N,58.307685,0°18′45″E,0.3123805
58°18′28″N,58.307685,0°38′52″E,0.64790135
58°18′28″N,58.307685,1°03′42″E,1.06154216
58°18′28″N,58.307685,0°28′59″E,0.48296333
58°18′28″N,58.307685,0°21′14″E,0.35383751
58°18′28″N,58.307685,4°03′07″W,-4.05195696
58°18′28″N,58.307685,3°28′53″W,-3.48125588
58°18′28″N,58.307685,4°04′21″W,-4.0725986
58°18′28″N,58.307685,2°50′22″W,-2.83938713
58°18′28″N,58.307685,2°17′40″W,-2.29446762
58°18′28″N,58.307685,3°41′53″W,-3.69791808
58°18′28″N,58.307685,2°28′24″W,-2.47326992
58°18′28″N,58.307685,1°31′09″W,-1.51920461
58°18′28″N,58.307685,0°47′20″E,0.78889587
58°18′28″N,58.307685,0°29′32″W,-0.49212605
58°18′28″N,58.307685,4°12′21″W,-4.2059393
58°18′28″N,58.307685,2°51′32″W,-2.85876407
58°18′28″N,58.307685,0°12′34″E,0.2095499
58°18′28″N,58.307685,0°49′49″E,0.83026517
58°18′28″N,58.307685,0°00′29″W,-0.00806409
58°18′28″N,58.307685,2°39′30″W,-2.65837196
58°18′28″N,58.307685,3°35′48″W,-3.59675729
58°18′28″N,58.307685,4°11′23″W,-4.18961958
58°18′28″N,58.307685,0°49′57″E,0.83254832
58°18′28″N,58.307685,1°04′09″W,-1.06923796
58°18′28″N,58.307685,0°29′40″E,0.49434329
58°18′28″N,58.307685,1°12′27″W,-1.20747849
58°18′28″N,58.307685,3°10′55″W,-3.18182507
58°18′28″N,58.307685,3°16′07″W,-3.26869055
58°18′28″N,58.307685,0°18′16″E,0.30442984
58°18′28″N,58.307685,3°10′28″W,-3.17452112
58°18′28″N,58.307685,3°06′34″W,-3.10936432
58°18′28″N,58.307685,0°30′51″W,-0.51429508
58°18′28″N,58.307685,0°24′20″W,-0.40567211
58°18′28″N,58.307685,1°06′59″E,1.11625585
58°18′28″N,58.307685,1°49′48″W,-1.82998263
58°18′28″N,58.307685,4°09′01″W,-4.15032066
58°18′28″N,58.307685,1°20′13″W,-1.33688287
