id,name
1,Warshal's
2,Turtle's Records & Tapes
3,Integra Investment Service
4,System Star
5,Grey Fade
6,Harmony House
7,Hechinger
8,Ellman's Catalog Showrooms
9,Landskip Yard Service
10,Copeland Sports
11,Ideal Garden Maintenance
12,Pro Property Maintenance
13,Wealth Zone Group
14,Infinite Wealth Planners
15,Netcore
16,Tech Hifi
17,E-zhe Source
18,Access Asia
19,Purity Supreme
20,Formula Grey
21,MegaSolutions
22,Noodle Kidoodle
23,Star Merchant Services
24,Buckeye Furniture
25,Weatherill's
26,Silverwoods
27,Gamma Realty
28,Champion Auto
29,Handy Dan
30,Future Bright
31,The High Heelers
32,Jitney Jungle
33,York Steak House
34,Flipside Records
35,Gold Leaf Garden Management
36,Childs Restaurants
37,Littler's
38,Practi-Plan
39,Zany Brainy
40,Endicott Johnson
41,Consumers Food and Drug
42,Adray
43,Liberal
44,Handy Andy
45,Hollywood Video
46,Auto Palace
47,Rivera Property Maintenance
48,Four Leaf Clover
49,Pup 'N' Taco
50,Builders Square
51,Electronics Source
52,Dynatronics Accessories
53,Balanced Fortune
54,Hollywood Video
55,MacMarr Stores
56,Furrow's
57,The Spotted Cougar
58,Exact Realty
59,Erb Lumber
60,Huyler's
61,Robinson Furniture
62,Poore Simon's
63,Weatherill's
64,Sun Foods
65,Muirhead's
66,Fayva
67,White Coffee Pot
68,Endicott Shoes
69,Ejecta
70,Stop N Shop
71,Great Western
72,Star Assistance
73,House 2 Home
74,Great Western
75,Monk House Sales
76,Giant Open Air
77,County Seat
78,Big Daddy's Restaurants
79,Mission You
80,County Market
81,Pay 'N Pak
82,Chase Pitkin
83,Opticomp
84,Griff's Hamburgers
85,Rite Solution
86,Action Auto
87,Infinite Wealth
88,Pearl Architectural Design
89,Tower Records
90,Murray's Discount Auto Stores
91,First Rate Choice
92,Helios Air
93,Furrow's
94,TheBottomHalf
95,Square Circle
96,Lum's
97,Parklane Hosiery
98,Sports Town USA
99,Simple Solutions
100,Dahlkemper's
101,Yardbirds Home Center
102,Budget Tapes & Records
103,Mikro Designs
104,Oklahoma Tire & Supply Company
105,Today's Man
106,Atlas Realty
107,Formula Grey
